symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc.,Financial Services,Credit Services,0.12,1.1563,0.914,0.5,0.38,0.485,-5.7,-7.11,20.36,8,A,0,35.55607,321.82999,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.46,0.482
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,0.0856,0.6627,0.609,0.5,0.6,0.485,4.18,3.87,13.33,4,C,0,59.32026,315.0,-2.17,14.9,,1.19,56.75,45.72,31.73,0.47,6672000000.0,25920000000.0,8224000000.0,0.5,0.32,0.435
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,0.076,0.7509,0.606,0.5,0.48,0.485,2.02,7.04,18.0,4,C,0,64.41622,151.77,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
NVDA,NVIDIA Corp,Technology,Semiconductors,0.0759,1.0424,0.83,0.5,0.5,0.485,-7.68,1.21,26.22,8,A,0,57.33221,191.13,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0,0.5,0.42,0.468
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,0.0749,0.5236,0.286,0.5,0.58,0.485,17.58,7.34,11.57,0,D,0,65.019381,63.34,35.05,16.54,0.61,0.69,52.69,19.39,13.76,,580081000.0,3388708000.0,466379000.0,0.5,0.5,0.495
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.0552,0.8566,0.631,0.5,0.5,0.485,-4.52,7.44,21.96,4,C,0,53.34407,40.58,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0,0.5,0.46,0.482
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,0.0514,0.5521,0.286,0.5,0.65,0.485,11.35,-0.16,14.67,0,D,0,59.16668,309.56,14.09,3.91,0.22,0.38,,25.62,17.17,,16182000000.0,56150000000.0,9640000000.0,0.5,0.5,0.495
SNA,Snap-on Inc.,Industrials,Tools & Accessories,0.0468,0.4928,0.286,0.5,0.65,0.485,8.59,4.32,15.14,0,D,0,57.48942,366.10999,19.73,13.54,0.24,4.15,51.97,26.34,20.92,0.06,1134000000.0,5108400000.0,1068900000.0,0.5,0.46,0.482
CTAS,Cintas Corporation,Industrials,Specialty Business Services,0.0433,0.4724,0.286,0.5,0.6,0.485,4.07,3.52,15.91,0,D,0,50.93719,191.39,38.69,18.45,0.57,2.09,50.04,22.82,17.53,0.23,1757021000.0,10340181000.0,1812281000.0,0.5,0.46,0.482
UNP,Union Pacific Corporation,Industrials,Railroads,0.0408,0.9998,0.824,0.5,0.65,0.485,8.66,1.38,23.84,5,C,0,55.92249,235.10001,39.95,9.96,1.92,0.77,45.52,40.05,27.82,,5894000000.0,24250000000.0,6747000000.0,0.5,0.355,0.447
