symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc. Class A,Financial Services,Credit Services,0.12,1.253,0.914,0.5,0.5,0.485,-0.07,-7.37,24.97,8,A,0,42.77822,320.95001,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.46,0.482
UNP,Union Pacific Corporation,Industrials,Railroads,0.0935,0.9564,0.824,0.5,0.42,0.485,20.51,14.74,23.72,5,C,0,74.7631,266.10001,38.65,10.24,1.78,0.91,45.78,40.17,29.12,,5499000000.0,24510000000.0,7138000000.0,0.5,0.355,0.447
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0911,1.0043,0.663,0.5,0.65,0.485,10.8,-0.05,23.21,5,C,0,46.20937,314.98001,31.83,22.2,0.14,2.01,59.65,32.03,32.81,22.7,73266000000.0,402836000000.0,132170000000.0,0.5,0.46,0.482
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.0705,0.5385,0.286,0.5,0.5,0.485,-0.7,-1.96,9.32,0,D,0,43.72928,200.39999,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products,0.0647,0.8201,0.606,0.5,0.53,0.485,9.38,13.39,16.35,4,C,0,66.35253,160.78,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
NVDA,NVIDIA Corporation,Technology,Semiconductors,0.0578,1.0434,0.83,0.5,0.6,0.485,4.66,0.51,36.63,8,A,0,54.88413,189.82001,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0,0.5,0.36,0.448
MDT,Medtronic plc,Healthcare,Medical Devices,0.054,0.5364,0.585,0.5,0.38,0.485,-3.91,0.84,20.21,3,C,0,38.79908,96.86,9.72,5.12,0.59,1.85,65.32,19.5,13.99,5.54,5185000000.0,33537000000.0,4691000000.0,0.5,0.28,0.422
SNA,Snap-on Inc.,Industrials,Tools & Accessories,0.0518,0.5121,0.286,0.5,0.58,0.485,16.97,9.95,18.31,0,D,0,63.56909,385.88,17.5,12.39,0.22,4.79,51.73,25.75,20.21,0.4,1005700000.0,5156100000.0,1042300000.0,0.5,0.46,0.482
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,0.0457,0.7806,0.629,0.5,0.58,0.485,17.68,14.41,22.06,3,C,0,61.43164,183.39999,-1.41,17.13,,0.96,67.12,36.74,29.15,,10664000000.0,40648000000.0,11848000000.0,0.5,0.355,0.447
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Diversified,0.042,0.492,0.286,0.5,0.53,0.485,6.81,3.71,19.27,0,D,0,60.56064,142.19,18.92,3.84,0.27,1.84,,19.92,11.79,0.55,5764000000.0,26384000000.0,3111000000.0,0.5,0.46,0.482
CMCSA,Comcast Corp,Communication Services,Telecom Services,0.0369,0.7265,0.585,0.5,0.58,0.485,22.22,13.2,22.9,3,C,0,62.28462,31.34,20.19,7.21,1.02,0.88,71.75,16.71,15.89,,19235000000.0,123707000000.0,19660000000.0,0.5,0.355,0.447
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,0.036,0.48,0.286,0.5,0.5,0.485,-7.81,-10.31,24.09,0,D,0,46.48936,504.049988,16.03,14.06,,4.87,66.0,29.27,28.58,5.36,2490700000.0,10064700000.0,2876600000.0,0.5,0.46,0.482
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,0.0342,0.492,0.286,0.5,0.53,0.485,11.82,6.95,21.36,0,D,0,64.95805,331.62,14.09,3.91,0.22,0.36,,25.54,17.17,,16182000000.0,56150000000.0,9640000000.0,0.5,0.46,0.482
