symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc. Class A,Financial Services,Credit Services,0.12,1.1736,0.914,0.5,0.38,0.485,-7.32,-9.35,25.47,8,A,0,34.46696,314.079987,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.42,0.468
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.12,0.9836,0.663,0.5,0.53,0.485,6.63,-2.99,21.27,5,C,0,32.26745,305.72,31.83,22.2,0.14,2.01,59.65,32.03,32.81,22.7,73266000000.0,402836000000.0,132170000000.0,0.5,0.46,0.482
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,0.0713,0.5868,0.286,0.5,0.7,0.485,15.61,6.99,17.53,0,D,0,58.49552,81.48,25.33,19.55,0.06,3.32,54.04,25.76,20.14,3.49,1622099000.0,7492709000.0,1509048000.0,0.5,0.46,0.482
MDT,Medtronic plc,Healthcare,Medical Devices,0.0674,0.6469,0.585,0.5,0.6,0.485,3.84,3.58,19.44,3,C,0,44.58037,99.49,9.72,5.12,0.59,1.85,65.32,19.5,13.99,5.54,5185000000.0,33537000000.0,4691000000.0,0.5,0.28,0.422
PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products,0.0663,0.8464,0.606,0.5,0.53,0.485,8.15,12.89,17.32,4,C,0,69.99827,160.070007,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
CTAS,Cintas Corporation,Industrials,Specialty Business Services,0.0552,0.5475,0.286,0.5,0.6,0.485,4.4,4.63,16.03,0,D,0,50.47208,193.44,38.69,18.45,0.57,2.09,50.04,22.82,17.53,0.23,1757021000.0,10340181000.0,1812281000.0,0.5,0.46,0.482
SNA,Snap-on Inc.,Industrials,Tools & Accessories,0.0512,0.5199,0.286,0.5,0.53,0.485,12.55,9.59,19.95,0,D,0,64.038114,384.60999,17.5,12.39,0.22,4.79,51.73,25.75,20.21,0.4,1005700000.0,5156100000.0,1042300000.0,0.5,0.46,0.482
CMCSA,Comcast Corp,Communication Services,Telecom Services,0.0505,0.7508,0.585,0.5,0.58,0.485,20.78,14.03,24.81,3,C,0,65.75097,31.57,20.19,7.21,1.02,0.88,71.75,16.71,15.89,,19235000000.0,123707000000.0,19660000000.0,0.5,0.355,0.447
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Diversified,0.0447,0.5199,0.286,0.5,0.53,0.485,6.47,3.02,18.35,0,D,0,62.54841,141.25,18.92,3.84,0.27,1.84,,19.92,11.79,0.55,5764000000.0,26384000000.0,3111000000.0,0.5,0.46,0.482
TRV,"Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,0.0425,0.5475,0.286,0.5,0.6,0.485,2.82,3.16,20.24,0,D,0,57.15715,294.20999,19.12,4.38,0.28,0.36,,25.89,12.88,,10606000000.0,48828000000.0,6288000000.0,0.5,0.46,0.482
META,Meta Platforms Inc Class A,Communication Services,Internet Content & Information,0.0414,1.1019,0.842,0.5,0.65,0.485,5.05,-1.64,43.75,8,A,0,42.73317,639.77002,27.83,16.52,0.39,2.6,82.0,41.44,30.08,34.68,46109000000.0,200966000000.0,60458000000.0,0.5,0.36,0.448
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,0.0404,0.6317,0.595,0.5,0.53,0.485,6.61,9.53,24.28,3,C,0,62.53983,27.58,9.11,3.78,0.72,1.17,71.94,23.31,12.67,4.57,9835000000.0,63627000000.0,8062000000.0,0.5,0.28,0.422
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,0.0319,0.5199,0.286,0.5,0.53,0.485,10.18,4.8,22.54,0,D,0,61.059525,324.95001,14.09,3.91,0.22,0.36,,25.54,17.17,,16182000000.0,56150000000.0,9640000000.0,0.5,0.46,0.482
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.0318,0.9661,0.85,0.5,0.28,0.485,-21.49,-15.14,40.04,7,B,0,32.38206,401.32001,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.36,0.448
BRK.B,Berkshire Hathaway Inc. Class B,Financial Services,Insurance - Diversified,0.0301,0.4818,0.801,0.5,0.5,0.325,-0.97,0.14,14.44,6,B,0,53.20344,497.54999,13.74,7.76,0.19,2.72,,41.1,21.11,4.47,11616000000.0,424232000000.0,89561000000.0,0.5,0.5,0.442
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.03,0.5677,0.286,0.5,0.5,0.485,-0.68,-1.85,9.09,0,D,0,42.48053,200.62,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
POOL,Pool Corporation,Industrials,Industrial Distribution,0.0288,0.5414,0.587,0.5,0.65,0.445,6.1,15.72,27.38,3,C,0,57.32479,265.82999,34.11,12.89,1.0,2.05,29.66,11.62,8.18,1.12,599710000.0,5310953000.0,434325000.0,0.5,0.315,0.42
