symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
UNP,Union Pacific Corporation,Industrials,Railroads,0.12,0.9477,0.824,0.5,0.53,0.485,10.96,4.73,16.17,5,C,0,68.39848,239.95,39.95,9.96,1.92,0.77,45.52,40.05,27.82,,5894000000.0,24250000000.0,6747000000.0,0.5,0.355,0.447
V,Visa Inc,Financial Services,Credit Services,0.106,1.1804,0.914,0.5,0.48,0.485,2.59,10.63,22.98,8,A,0,64.99334,347.82999,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.46,0.482
META,"Meta Platforms, Inc. Class A Common Stock",Communication Services,Internet Content & Information,0.0804,0.9997,0.842,0.5,0.4,0.485,-15.75,7.51,27.1,8,A,0,48.12802,644.22998,34.14,22.59,0.27,2.98,81.67,42.18,37.91,22.65,54072000000.0,164501000000.0,62360000000.0,0.5,0.42,0.468
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,0.0707,0.7478,0.606,0.5,0.5,0.485,-8.92,-13.94,19.43,4,C,0,42.87418,142.84,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,0.0454,0.6405,0.586,0.5,0.5,0.485,-6.01,-11.89,16.29,3,C,0,57.843,186.21001,30.42,7.29,1.62,1.13,42.78,23.78,16.83,,3986000000.0,24458000000.0,4117000000.0,0.5,0.355,0.447
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,0.0557,0.5484,0.584,0.5,0.65,0.445,6.51,14.04,16.57,3,C,0,49.96884,70.52,40.38,10.59,1.69,1.03,61.06,29.8,22.63,4.3,4741000000.0,47061000000.0,10649000000.0,0.5,0.355,0.433
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.0529,0.5072,0.286,0.5,0.58,0.485,18.61,39.64,3.45,0,D,0,68.60273,203.73,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.0502,1.1106,0.85,0.5,0.5,0.485,-7.15,14.32,21.46,7,B,0,41.49094,478.53,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.46,0.482
AON,Aon plc,Financial Services,Insurance Brokers,0.0373,0.5704,0.613,0.5,0.5,0.485,-2.75,-0.34,16.29,3,C,0,57.3169,353.79001,42.3,5.55,2.78,1.02,47.24,26.6,17.33,,2817000000.0,15698000000.0,2720000000.0,0.5,0.28,0.422
INTU,Intuit Inc.,Technology,Software - Application,0.0442,0.8525,0.648,0.5,0.6,0.485,3.01,7.73,26.13,4,C,0,56.0046774,670.92499,19.63,10.47,0.34,1.36,79.57,26.22,20.55,0.45,6083000000.0,18831000000.0,3869000000.0,0.5,0.42,0.468
