symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc.,Financial Services,Credit Services,0.1479,1.0614,0.884,0.5,0.5,0.485,-6.06,4.84,14.52,8,A,0,43.32483,329.62,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.7,0.5,0.562
TSM,Taiwan Semiconductor S.A.,Technology,Semiconductors,0.1479,0.8486,0.612,0.5,0.7,0.485,26.22,44.89,26.21,6,B,0,54.033164,292.07,27.05,17.3,0.24,2.36,56.12,45.68,39.99,33.0,27424770697.0,92169228706.0,36861348595.0,0.7,0.42,0.535
PG,Procter & Gamble,Consumer Defensive,Household & Personal Products,0.1479,0.5477,0.351,0.5,0.5,0.485,-7.75,-12.09,15.77,4,C,0,41.98109,145.91,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.7,0.415,0.533
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.1418,0.9403,0.791,0.5,0.5,0.485,-3.06,17.04,21.36,7,B,0,44.359,489.905,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.7,0.46,0.548
ADBE,Adobe Inc.,Technology,Software - Application,0.1137,0.5638,0.364,0.5,0.5,0.485,-7.36,-26.79,26.16,4,C,0,43.68604,322.84,39.42,18.39,0.43,1.07,89.04,36.0,25.85,0.85,7873000000.0,21505000000.0,5560000000.0,0.7,0.42,0.535
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.1123,0.5374,0.376,0.5,0.32,0.485,-19.06,-30.84,24.53,4,C,0,29.82117,38.95,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0,0.7,0.46,0.548
ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,0.0946,0.7005,0.493,0.5,0.58,0.485,50.47,58.29,34.21,4,C,0,64.84364,1108.72,40.98,15.58,0.25,1.53,51.28,31.92,26.79,7.31,10535760183.0,32782985596.0,8782525988.0,0.7,0.42,0.535
LULU,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,0.042,0.4409,0.599,0.5,0.38,0.445,-8.1,-51.0,35.42,4,C,0,62.24643,182.45,41.97,23.87,0.36,2.16,59.22,23.67,17.14,6.51,1583481000.0,10588126000.0,1814616000.0,0.7,0.36,0.502
NVDA,NVIDIA Corp.,Technology,Semiconductors,0.0335,0.8934,0.8,0.5,0.65,0.485,6.28,31.1,41.38,8,A,0,46.041757,181.33,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0,0.7,0.36,0.515
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0183,0.7349,0.538,0.5,0.58,0.485,36.89,66.68,34.52,5,C,0,68.67471,315.74,30.8,22.24,0.08,1.84,58.2,32.11,28.6,15.01,72764000000.0,350018000000.0,100118000000.0,0.7,0.42,0.535
