symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.109,1.1003,0.85,0.5,0.5,0.485,-8.25,1.34,17.62,7,B,0,45.41281,479.28,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.46,0.482
V,Visa Inc,Financial Services,Credit Services,0.0983,1.2275,0.914,0.5,0.6,0.485,0.79,0.95,21.77,8,A,0,53.47019,349.76999,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.46,0.482
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0844,0.9084,0.663,0.5,0.58,0.485,36.04,4.26,20.7,5,C,0,68.9691,328.57001,30.8,22.24,0.08,1.84,58.2,32.11,28.6,15.01,72764000000.0,350018000000.0,100118000000.0,0.5,0.46,0.482
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.0788,0.5108,0.286,0.5,0.6,0.485,2.02,-0.15,2.42,0,D,0,57.284,204.10001,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,0.0594,0.7347,0.606,0.5,0.5,0.485,-5.78,0.06,19.1,4,C,0,45.6822,141.87,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
UNP,Union Pacific Corporation,Industrials,Railroads,0.0521,0.9171,0.824,0.5,0.5,0.485,-1.34,-1.5,18.74,5,C,0,44.41392,228.44,39.95,9.96,1.92,0.77,45.52,40.05,27.82,,5894000000.0,24250000000.0,6747000000.0,0.5,0.355,0.447
MDT,Medtronic plc,Healthcare,Medical Devices,0.0468,0.564,0.586,0.5,0.6,0.485,1.07,1.54,15.59,3,C,0,46.80054,97.53,9.72,5.12,0.59,1.85,65.32,19.5,13.99,5.54,5185000000.0,33537000000.0,4691000000.0,0.5,0.28,0.422
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,0.0447,0.5108,0.286,0.5,0.6,0.485,0.81,0.93,11.99,0,D,0,46.55137,162.99001,16.45,6.28,0.06,1.12,,38.27,20.22,0.19,2627000000.0,11337000000.0,2292000000.0,0.5,0.5,0.495
QCOM,Qualcomm Inc.,Technology,Semiconductors,0.0406,0.9458,0.666,0.5,0.65,0.485,7.32,2.77,23.49,3,C,0,53.84806,177.78,26.13,11.05,0.7,2.82,55.43,27.99,12.51,0.03,12820000000.0,44284000000.0,5541000000.0,0.5,0.46,0.482
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,0.0406,0.6237,0.586,0.5,0.5,0.485,-9.7,1.94,15.13,3,C,0,51.7952,186.0099945,30.42,7.29,1.62,1.13,42.78,23.78,16.83,,3986000000.0,24458000000.0,4117000000.0,0.5,0.355,0.447
