symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc. Class A,Financial Services,Credit Services,0.12,1.1805,0.914,0.5,0.5,0.485,-4.3,-7.6,25.77,8,A,0,47.12858,320.14001,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.42,0.468
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.1113,0.5189,0.286,0.5,0.5,0.485,-0.54,-1.88,9.58,0,D,0,45.23991,200.57001,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
PG,Procter & Gamble Co,Consumer Defensive,Household & Personal Products,0.0922,0.7406,0.606,0.5,0.37,0.485,12.6,17.92,17.98,4,C,0,71.98123,167.2,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,0.0741,0.7722,0.629,0.5,0.58,0.485,18.69,16.55,20.9,3,C,0,62.19322,186.83,-1.41,17.13,,0.96,67.12,36.74,29.15,,10664000000.0,40648000000.0,11848000000.0,0.5,0.355,0.447
CTAS,Cintas Corporation,Industrials,Specialty Business Services,0.0718,0.4756,0.286,0.5,0.53,0.485,9.51,8.79,15.81,0,D,0,62.082728,201.13,38.69,18.45,0.57,2.09,50.04,22.82,17.53,0.23,1757021000.0,10340181000.0,1812281000.0,0.5,0.46,0.482
UNP,Union Pacific Corporation,Industrials,Railroads,0.0656,1.0122,0.824,0.5,0.58,0.485,15.65,14.26,23.73,5,C,0,67.84374,264.98001,38.65,10.24,1.78,0.91,45.78,40.17,29.12,,5499000000.0,24510000000.0,7138000000.0,0.5,0.355,0.447
CMCSA,Comcast Corp,Communication Services,Telecom Services,0.0622,0.7677,0.585,0.5,0.7,0.485,23.82,11.83,22.64,3,C,0,55.01888,30.96,20.19,7.21,1.02,0.88,71.75,16.71,15.89,,19235000000.0,123707000000.0,19660000000.0,0.5,0.355,0.447
NVDA,NVIDIA Corporation,Technology,Semiconductors,0.0437,0.9934,0.83,0.5,0.5,0.485,-0.35,-6.17,41.44,8,A,0,40.34614,177.19,76.33,58.06,0.07,3.91,71.07,60.38,55.6,2.8,96676000000.0,215938000000.0,120067000000.0,0.5,0.36,0.448
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,0.041,0.8326,0.665,0.5,0.4,0.485,-12.82,-17.7,33.98,3,C,0,40.85611,142.36,26.13,11.05,0.7,2.82,55.43,27.99,12.51,0.03,12820000000.0,44284000000.0,5541000000.0,0.5,0.42,0.468
SNA,Snap-on Inc.,Industrials,Tools & Accessories,0.0404,0.4756,0.286,0.5,0.53,0.485,13.2,9.76,17.98,0,D,0,61.19499,385.22,17.5,12.39,0.22,4.79,51.73,25.75,20.21,0.4,1005700000.0,5156100000.0,1042300000.0,0.5,0.46,0.482
