symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
META,"Meta Platforms, Inc. Class A Common Stock",Communication Services,Internet Content & Information,0.1054,1.0391,0.842,0.5,0.4,0.485,-10.82,10.69,24.07,8,A,0,54.51123,663.28998,34.14,22.59,0.27,2.98,81.67,42.18,37.91,22.65,54072000000.0,164501000000.0,62360000000.0,0.5,0.46,0.482
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.1021,1.0958,0.85,0.5,0.5,0.485,-4.64,16.52,20.01,7,B,0,50.14984,487.70999,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.46,0.482
V,Visa Inc,Financial Services,Credit Services,0.0846,1.1888,0.914,0.5,0.53,0.485,5.23,12.91,22.22,8,A,0,69.33884,355.0,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.46,0.482
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,0.0711,0.5881,0.584,0.5,0.65,0.445,6.4,12.99,14.11,3,C,0,45.62203,69.87,40.38,10.59,1.69,1.03,61.06,29.8,22.63,4.3,4741000000.0,47061000000.0,10649000000.0,0.5,0.395,0.447
UNP,Union Pacific Corporation,Industrials,Railroads,0.0625,0.9149,0.824,0.5,0.5,0.485,-0.75,1.89,15.61,5,C,0,52.080477,233.44,39.95,9.96,1.92,0.77,45.52,40.05,27.82,,5894000000.0,24250000000.0,6747000000.0,0.5,0.355,0.447
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,0.0502,0.6481,0.611,0.5,0.37,0.485,8.68,6.85,14.85,4,C,0,72.23664,529.45001,11.11,6.92,0.32,0.85,69.09,38.56,29.33,,5565000000.0,14208000000.0,4167000000.0,0.5,0.395,0.46
SNA,Snap-on Inc.,Industrials,Tools & Accessories,0.0488,0.4478,0.286,0.5,0.48,0.485,3.54,5.64,13.5,0,D,0,64.41978,354.0,19.73,13.54,0.24,4.15,51.97,26.34,20.92,0.06,1134000000.0,5108400000.0,1068900000.0,0.5,0.5,0.495
AON,Aon plc,Financial Services,Insurance Brokers,0.0421,0.5953,0.613,0.5,0.6,0.485,0.16,0.47,15.12,3,C,0,59.2721,356.64999,42.3,5.55,2.78,1.02,47.24,26.6,17.33,,2817000000.0,15698000000.0,2720000000.0,0.5,0.28,0.422
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,0.0459,0.8629,0.912,0.5,0.65,0.405,5.8,5.59,23.81,8,A,0,55.30091,232.52,20.72,9.48,0.46,1.06,48.85,10.75,9.29,12.17,32878000000.0,637959000000.0,59248000000.0,0.5,0.415,0.44
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0455,0.9022,0.663,0.5,0.7,0.485,27.16,65.5,31.14,5,C,0,57.64399,313.51001,30.8,22.24,0.08,1.84,58.2,32.11,28.6,15.01,72764000000.0,350018000000.0,100118000000.0,0.5,0.42,0.468
