symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
UNP,Union Pacific Corporation,Industrials,Railroads,0.0898,0.9709,0.824,0.5,0.6,0.485,1.96,-0.97,22.75,5,C,0,49.2067,229.64999,39.95,9.96,1.92,0.77,45.52,40.05,27.82,,5894000000.0,24250000000.0,6747000000.0,0.5,0.355,0.447
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.0889,1.0721,0.85,0.5,0.4,0.485,-10.49,-1.48,19.46,7,B,0,46.050425,465.95001,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.46,0.482
V,Visa Inc,Financial Services,Credit Services,0.0762,1.084,0.914,0.5,0.38,0.485,-5.55,-5.86,25.42,8,A,0,33.77016,326.17999,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.42,0.468
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.075,0.5198,0.286,0.5,0.6,0.485,1.62,-0.2,2.0,0,D,0,51.78683,204.0,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.0737,0.7936,0.631,0.5,0.38,0.485,-7.86,9.61,20.51,4,C,0,63.58792,41.4,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0,0.5,0.46,0.482
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,0.0627,0.8623,0.912,0.5,0.65,0.405,9.73,5.59,24.64,8,A,0,54.92914,239.16,20.72,9.48,0.46,1.06,48.85,10.75,9.29,12.17,32878000000.0,637959000000.0,59248000000.0,0.5,0.415,0.44
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0574,0.9684,0.663,0.5,0.7,0.485,30.29,4.06,20.98,5,C,0,57.74937,327.92999,30.8,22.24,0.08,1.84,58.2,32.11,28.6,15.01,72764000000.0,350018000000.0,100118000000.0,0.5,0.46,0.482
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,0.053,0.6352,0.586,0.5,0.5,0.485,-3.25,0.38,16.53,3,C,0,48.60018,183.16,30.42,7.29,1.62,1.13,42.78,23.78,16.83,,3986000000.0,24458000000.0,4117000000.0,0.5,0.355,0.447
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,0.0457,0.4902,0.286,0.5,0.53,0.485,10.95,6.61,12.43,0,D,0,66.074791,62.91,35.05,16.54,0.61,0.69,52.69,19.39,13.76,,580081000.0,3388708000.0,466379000.0,0.5,0.5,0.495
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,0.0423,0.4712,0.69,0.5,0.58,0.405,24.0,6.89,17.01,4,C,0,63.43176,107.98,34.53,8.25,1.53,1.17,17.96,9.3,6.35,,6213000000.0,91070000000.0,5782000000.0,0.5,0.355,0.42
