symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income
V,Visa Inc.,Financial Services,Credit Services,0.0686,0.803,0.853,0.5,0.775,1.0,-5.02,6.27,14.63,8,A,0,48.88849,334.11,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0
UNH,United Health Group Inc.,Healthcare,Healthcare Plans,0.0686,0.764,0.837,0.5,0.799,0.75,6.83,-34.38,28.01,9,A,0,50.14928,331.035,14.86,5.11,0.75,0.83,22.33,8.07,3.81,0.87,20705000000.0,400278000000.0,15242000000.0
BRK.B,Berkshire Hathaway CL B,Financial Services,Insurance - Diversified,0.0686,0.671,0.636,0.5,0.639,1.0,2.39,14.16,14.14,6,B,0,66.76958,514.99,13.74,7.76,0.19,2.72,,41.1,21.11,4.47,11616000000.0,424232000000.0,89561000000.0
UNP,Union Pacific,Industrials,Railroads,0.0686,0.658,0.567,0.5,0.773,0.9,3.5,0.99,16.68,5,C,0,64.64884,231.395,39.95,9.96,1.92,0.77,45.52,40.05,27.82,14.24,5894000000.0,24250000000.0,6747000000.0
SCHW,Charles Schwab Corp.,Financial Services,Capital Markets,0.0686,0.533,0.377,0.5,0.615,0.9,-2.82,26.14,17.16,4,C,0,49.86485,93.14,12.28,1.24,0.93,0.59,,49.24,30.31,3.16,2050000000.0,19606000000.0,5942000000.0
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.0661,0.717,0.714,0.5,0.684,1.0,-3.11,17.28,21.07,7,B,0,44.19018,490.92,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0
TSM,Taiwan Semiconductor S.A.,Technology,Semiconductors,0.0641,0.665,0.551,0.5,0.769,1.0,26.14,44.47,25.84,6,B,0,53.62745,290.91,27.05,17.3,0.24,2.36,56.12,45.68,39.99,33.0,27460940908.0,92290789629.0,36909964599.0
CP,Canadian Pacific Kansas City,Industrials,Railroads,0.0512,0.548,0.371,0.5,0.713,0.85,-4.72,-1.47,18.89,4,C,0,54.351,72.595,7.59,4.23,0.47,0.6,35.6,35.6,25.53,19.24,1715453940.0,10371152540.0,2647331870.0
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.0508,0.469,0.381,0.5,0.29,1.0,-19.87,-30.56,26.15,4,C,0,30.31247,39.11,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0
ELV,Elevance Health Inc.,Healthcare,Healthcare Plans,0.0462,0.643,0.499,0.5,0.862,0.85,6.45,-7.28,31.43,4,C,0,58.26674,339.2,14.41,5.11,0.75,1.56,,3.46,3.38,0.71,4552000000.0,176810000000.0,5971000000.0
INTU,Intuit Inc.,Technology,Software - Application,0.046,0.573,0.394,0.5,0.714,0.95,-5.13,1.61,25.1,4,C,0,40.74325,632.81,19.63,10.47,0.34,1.36,79.57,26.22,20.55,0.45,6083000000.0,18831000000.0,3869000000.0
MDB,MongoDB Inc.,Technology,Software - Infrastructure,0.0354,0.516,0.383,0.5,0.776,0.5,5.89,36.62,34.15,3,C,0,47.65855,334.2,-4.64,-3.76,0.01,5.2,73.32,-10.77,-6.43,1.47,120641000.0,2006443000.0,-129072000.0
PBH,Prestige Consumer Healthcare,Healthcare,Drug Manufacturers - Specialty & Generic,0.0303,0.517,0.402,0.5,0.446,1.0,-12.2,-23.13,20.63,3,C,0,47.17612,59.74,11.7,6.31,0.57,4.2,55.76,30.7,18.86,0.72,243291000.0,1137762000.0,214605000.0
NVDA,NVIDIA Corp.,Technology,Semiconductors,0.0296,0.77,0.786,0.5,0.764,1.0,2.08,28.56,40.94,8,A,0,42.08533,177.81,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0
KD,Kyndryl Holdings Inc,Technology,Information Technology Services,0.028,0.453,0.36,0.5,0.474,0.65,-18.69,-27.22,35.96,3,C,0,47.25066,25.85,18.84,2.4,2.97,1.07,20.87,3.67,1.67,0.55,337000000.0,15057000000.0,251000000.0
PG,Procter & Gamble,Consumer Defensive,Household & Personal Products,0.0267,0.528,0.361,0.5,0.563,1.0,-5.84,-10.91,15.56,4,C,0,47.52719,147.87,30.73,12.83,0.68,0.7,51.16,24.26,19.06,3.58,14044000000.0,84284000000.0,16065000000.0
FERG,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,0.0249,0.514,0.373,0.5,0.545,0.9,9.92,46.55,26.2,4,C,0,61.54288,254.09,31.82,10.47,1.02,1.68,30.67,8.73,6.03,,1603000000.0,30762000000.0,1856000000.0
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,0.0238,0.578,0.365,0.5,0.783,0.95,-9.04,0.68,22.61,4,C,0,54.84938,498.85,11.11,6.92,0.32,0.85,69.09,38.56,29.33,0.19,5565000000.0,14208000000.0,4167000000.0
AMAT,Applied Materials,Technology,Semiconductor Equipment & Materials,0.0232,0.543,0.376,0.5,0.594,1.0,55.35,52.4,43.56,4,C,0,62.96786,249.74,35.51,14.97,0.35,2.51,,27.84,24.67,,7487000000.0,,
ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,0.0227,0.625,0.475,0.5,0.746,1.0,40.99,49.48,33.3,4,C,0,56.37144,1047.02,40.98,15.58,0.25,1.53,51.28,31.92,26.79,7.31,10509873348.0,32702436332.0,8760946928.0
ADBE,Adobe Inc.,Technology,Software - Application,0.0225,0.523,0.372,0.5,0.523,1.0,-9.96,-27.17,30.61,4,C,0,41.91145,321.18,39.42,18.39,0.43,1.07,89.04,36.0,25.85,0.85,7873000000.0,21505000000.0,5560000000.0
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.0173,0.535,0.438,0.5,0.453,1.0,49.59,68.13,35.15,5,C,0,72.013781,318.49,30.8,22.24,0.08,1.84,58.2,32.11,28.6,15.01,72764000000.0,350018000000.0,100118000000.0
UPS,United Parcel Service,Industrials,Integrated Freight & Logistics,0.0169,0.58,0.428,0.5,0.801,0.75,9.61,-22.62,34.38,4,C,0,58.67587,95.845,34.53,8.25,1.53,1.17,17.96,9.3,6.35,3.5,6213000000.0,91070000000.0,5782000000.0
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,0.016,0.756,0.796,0.5,0.691,1.0,-12.99,7.26,41.4,8,A,0,49.83737,642.74,34.14,22.59,0.27,2.98,81.67,42.18,37.91,22.65,54072000000.0,164501000000.0,62360000000.0
BN,Brookfield Corp.,Financial Services,Asset Management,0.0156,0.542,0.52,0.5,0.602,0.55,7.3,22.53,27.06,3,C,0,60.93558,47.01,1.12,0.38,1.42,0.65,21.01,20.92,2.15,9.77,-3603000000.0,86006000000.0,1853000000.0
