symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
META,"Meta Platforms, Inc. Class A Common Stock",Communication Services,Internet Content & Information,0.1027,0.998,0.842,0.5,0.28,0.485,-12.89,-4.64,19.19,8,A,0,36.91982,620.25,34.14,22.59,0.27,2.98,81.67,42.18,37.91,22.65,54072000000.0,164501000000.0,62360000000.0,0.5,0.46,0.482
MSFT,Microsoft Corp.,Technology,Software - Infrastructure,0.0965,1.0079,0.85,0.5,0.28,0.485,-10.12,-2.77,17.11,7,B,0,33.8014,459.85999,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.46,0.482
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.0891,0.5064,0.286,0.5,0.6,0.485,1.95,-0.08,2.14,0,D,0,58.23914,204.25,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
V,Visa Inc,Financial Services,Credit Services,0.0723,1.0714,0.914,0.5,0.38,0.485,-2.12,-5.25,25.88,8,A,0,34.40242,328.29999,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.42,0.468
NVDA,NVIDIA Corp,Technology,Semiconductors,0.0626,1.0614,0.83,0.5,0.6,0.485,2.43,-1.39,26.42,8,A,0,51.79182,186.23,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0,0.5,0.42,0.468
TFC,Truist Financial Corp,Financial Services,Banks - Regional,0.0571,0.6586,0.598,0.5,0.7,0.485,21.66,0.5,15.32,3,C,0,54.17711,49.99,7.6,0.91,0.83,,,39.32,36.45,,2164000000.0,13278000000.0,4840000000.0,0.5,0.31,0.432
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,0.0512,0.5277,0.286,0.5,0.65,0.485,7.13,0.43,13.05,0,D,0,45.51023,162.17999,16.45,6.28,0.06,1.12,,38.27,20.22,0.19,2627000000.0,11337000000.0,2292000000.0,0.5,0.5,0.495
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,0.0488,0.4767,0.286,0.5,0.53,0.485,11.42,2.64,14.31,0,D,0,63.8801,78.17,25.33,19.55,0.06,3.32,54.04,25.76,20.14,3.49,1622099000.0,7492709000.0,1509048000.0,0.5,0.5,0.495
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,0.0476,0.6442,0.609,0.5,0.6,0.485,0.69,1.38,14.42,4,C,0,48.49747,307.42999,-2.17,14.9,,1.19,56.75,45.72,31.73,0.47,6672000000.0,25920000000.0,8224000000.0,0.5,0.32,0.435
UNP,Union Pacific Corporation,Industrials,Railroads,0.0474,0.9599,0.824,0.5,0.6,0.485,2.43,-1.04,18.82,5,C,0,47.35513,229.49001,39.95,9.96,1.92,0.77,45.52,40.05,27.82,,5894000000.0,24250000000.0,6747000000.0,0.5,0.355,0.447
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,0.042,0.5035,0.584,0.5,0.6,0.445,4.22,1.91,15.35,3,C,0,52.59738,70.44,40.38,10.59,1.69,1.03,61.06,29.8,22.63,4.3,4741000000.0,47061000000.0,10649000000.0,0.5,0.355,0.433
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,0.039,0.5915,0.596,0.5,0.65,0.485,5.86,1.87,18.93,3,C,0,55.28318,25.65,9.11,3.78,0.72,1.17,71.94,23.31,12.67,4.57,9835000000.0,63627000000.0,8062000000.0,0.5,0.28,0.422
CPRT,Copart Inc.,Industrials,Specialty Business Services,0.034,0.7804,0.631,0.5,0.38,0.485,-6.85,8.66,20.83,4,C,0,62.58846,41.040001,16.82,15.34,0.01,8.42,45.18,36.51,33.32,11.56,1230760000.0,4646958000.0,1548363000.0,0.5,0.46,0.482
