symbol,company,sector,industry,weight,score_composite,score_sm,score_insider,score_momentum,score_quality,perf_3m,perf_ytd,vol_30d,gp_buys,gp_tier,insider_buys,rsi,td_price,roe,roa,debt_equity,current_ratio,gross_margin,operating_margin,net_margin,capex_ratio,fcf,revenue,net_income,score_value,score_risk,buffett_score
V,Visa Inc.,Financial Services,Credit Services,0.0871,1.27,0.914,0.5,0.5,0.485,-2.49,-4.3,23.28,8,A,0,48.12813,331.57999,52.91,20.13,0.66,1.08,80.36,66.39,50.14,3.71,21577000000.0,40000000000.0,20058000000.0,0.5,0.46,0.482
CTAS,Cintas Corporation,Industrials,Specialty Business Services,0.0806,0.5702,0.286,0.5,0.53,0.485,5.41,5.94,13.87,0,D,0,61.72577,195.87,38.69,18.45,0.57,2.09,50.04,22.82,17.53,0.23,1757021000.0,10340181000.0,1812281000.0,0.5,0.5,0.495
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,0.0739,0.725,0.629,0.5,0.42,0.485,23.19,14.04,23.44,3,C,0,71.24224,182.81,-71.27,12.14,,0.88,64.81,35.38,19.81,,10773000000.0,37878000000.0,7503000000.0,0.5,0.355,0.447
NVDA,NVIDIA Corporation,Technology,Semiconductors,0.0668,1.0155,0.83,0.5,0.5,0.485,-5.02,-1.82,35.52,8,A,0,51.14227,185.41,91.87,65.3,0.13,4.44,74.99,62.42,55.85,2.48,60853000000.0,130497000000.0,72880000000.0,0.5,0.36,0.448
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,0.0667,0.5039,0.286,0.5,0.38,0.485,-0.37,-2.16,8.23,0,D,0,36.86263,200.0,17.55,9.06,0.31,0.95,79.32,21.13,15.02,,1858000000.0,7463000000.0,1121000000.0,0.5,0.5,0.495
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,0.0624,0.4995,0.286,0.5,0.37,0.485,8.66,9.88,11.45,0,D,0,71.17233,64.84,35.05,16.54,0.61,0.69,52.69,19.39,13.76,,580081000.0,3388708000.0,466379000.0,0.5,0.5,0.495
SNA,Snap-on Inc.,Industrials,Tools & Accessories,0.0603,0.5627,0.286,0.5,0.65,0.485,7.76,5.24,19.18,0,D,0,54.40917,369.34,19.73,13.54,0.24,4.15,51.97,26.34,20.92,0.06,1134000000.0,5108400000.0,1068900000.0,0.5,0.46,0.482
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,0.0532,0.7653,0.606,0.5,0.37,0.485,9.18,12.26,17.18,4,C,0,75.43085,159.17,30.73,12.83,0.68,0.7,51.16,24.26,19.06,,14044000000.0,84284000000.0,16065000000.0,0.5,0.415,0.467
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,0.0524,0.4917,0.584,0.5,0.42,0.445,15.36,14.34,16.78,3,C,0,81.74714,79.029999,40.38,10.59,1.69,1.03,61.06,29.8,22.63,4.3,4741000000.0,47061000000.0,10649000000.0,0.5,0.355,0.433
MSFT,Microsoft Corp,Technology,Software - Infrastructure,0.0486,0.9606,0.85,0.5,0.32,0.485,-20.9,-15.18,38.6,7,B,0,29.12994,401.14001,29.65,16.45,0.18,1.35,68.82,45.62,36.15,22.91,71611000000.0,281724000000.0,101832000000.0,0.5,0.36,0.448
AON,Aon plc,Financial Services,Insurance Brokers,0.0451,0.6715,0.613,0.5,0.6,0.485,0.1,-0.65,20.01,3,C,0,47.04079,342.040009,42.3,5.55,2.78,1.02,47.24,26.6,17.33,,2817000000.0,15698000000.0,2720000000.0,0.5,0.28,0.422
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,0.0426,0.5097,0.286,0.5,0.53,0.485,10.77,10.96,22.93,0,D,0,67.4417,271.63,23.47,17.14,0.14,3.44,59.36,32.79,27.22,1.75,1650946000.0,5146327000.0,1400723000.0,0.5,0.46,0.482
MDT,Medtronic plc,Healthcare,Medical Devices,0.0406,0.6073,0.586,0.5,0.53,0.485,13.83,7.13,18.79,3,C,0,61.47808,102.9,9.72,5.12,0.59,1.85,65.32,19.5,13.99,5.54,5185000000.0,33537000000.0,4691000000.0,0.5,0.28,0.422
SCHW,Charles Schwab Corporation,Financial Services,Capital Markets,0.0367,0.4881,0.626,0.5,0.65,0.425,12.17,3.46,21.16,4,C,0,59.13361,105.080002,18.11,,0.93,,,50.19,37.0,,2050000000.0,,,0.5,0.31,0.412
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,0.0342,0.5244,0.286,0.5,0.7,0.485,21.94,1.19,26.48,0,D,0,59.48219,785.51001,14.41,11.11,0.09,4.13,85.35,25.81,31.41,,3765200000.0,14342900000.0,4504900000.0,0.5,0.42,0.468
CMCSA,Comcast Corporation,Communication Services,Telecom Services,0.0315,0.672,0.586,0.5,0.42,0.485,19.8,13.31,23.56,3,C,0,72.50173,31.37,20.19,7.21,1.02,0.88,71.75,16.71,15.89,,19235000000.0,123707000000.0,19660000000.0,0.5,0.355,0.447
MA,Mastercard Incorporated,Financial Services,Credit Services,0.0302,0.4965,0.286,0.5,0.5,0.485,-0.83,-2.56,23.58,0,D,0,50.43706,548.73999,197.61,26.78,2.8,1.03,76.31,57.96,45.71,1.68,13586000000.0,28167000000.0,12874000000.0,0.5,0.46,0.482
